GSE;Skill;Objective;Source
34;Speaking;Can ask for basic advice using simple language. ;(P)
45;Speaking;Can ask for changes to a hotel, restaurant, or transportation reservation on the phone. ;(P)
40;Speaking;Can ask for clarification about key words not understood, using fixed expressions. ;(Ca)
55;Speaking;Can ask for clarification of an unknown acronym or technical term used in conversation. ;(P)
56;Speaking;Can ask for confirmation of understanding during a live discussion or presentation. ;(P)
27;Speaking;Can ask for help using basic fixed expressions. ;(P)
36;Writing;Can ask for personal details in written form in a limited way. ;(Ca)
30;Speaking;Can ask for repetition and clarification when they don’t understand, using basic fixed expressions. ;(P)
35;Speaking;Can ask for repetition or clarification on the phone in a simple way. ;(P)
32;Speaking;Can ask for simple directions from X to Y on foot or by public transport. ;(P)
29;Speaking;Can ask for simple directions, referring to a map or plan. ;(P)
22;Speaking;Can ask for the spelling of a word, or for a word to be written down. ;(P)
26;Speaking;Can ask for things using basic language. ;(P)
44;Speaking;Can ask for, follow and give detailed directions. ;(Ca)
75;Speaking;Can ask linguistically complex questions in a survey. ;(P)
32;Speaking;Can ask others if they can do everyday activities using simple language, given a model. ;(P)
28;Speaking;Can ask people for things and give people things. ;(C)
27;Speaking;Can ask simple questions about numbers of objects there are using a basic phrase (e.g. ‘how many?’). ;(P)
27;Speaking;Can ask simple questions about other people (e.g. their ‘name’, ‘age’, ‘where they live’, ‘things they have’).;x
33;Speaking;Can ask simple questions about quantities and amounts. ;(P)
34;Speaking;Can ask simple questions in a face-to-face survey. ;(P)
31;Speaking;Can ask simple questions to find out about a subject. ;(P)
31;Speaking;Can ask someone about their hobbies and activities using simple language. ;(P)
10;Speaking;Can ask someone for their name. ;(P)
36;Speaking;Can ask someone simple questions about their life and experiences. ;(P)
50;Speaking;Can ask someone to clarify or elaborate what they have just said. ;(C)
53;Speaking;Can ask someone to paraphrase a specific point or idea. ;(P)
34;Speaking;Can ask someone to repeat a specific point or idea. ;(P)
19;Speaking;Can ask someone what their job is. ;(P)
13;Speaking;Can ask someone what their nationality is. ;(P)
30;Speaking;Can ask to borrow things using basic fixed expressions. ;(P)
21;Speaking;Can ask very simply for repetition when they don’t understand. ;(C)
20;Speaking;Can ask where other people are in a limited way. ;(P)
47;Speaking;Can begin to use a repertoire of common idiomatic phrases in routine situations. ;(Ca)
51;Speaking;Can briefly give reasons and explanations for opinions, plans and actions. ;(C)
60;Speaking;Can bring relevant personal experiences into a conversation to illustrate a point. ;(P)
46;Speaking;Can buy a ticket for an event on the phone. ;(P)
24;Speaking;Can buy tickets on public transport using basic fixed expressions. ;(N2000a)
41;Speaking;Can cancel a hotel, restaurant, or transportation reservation on the phone. ;(P)
57;Speaking;Can carry out a prepared interview, checking and confirming information as necessary. ;(Ca)
45;Speaking;Can carry out a prepared structured interview with some spontaneous follow-up questions. ;(Ca)
50;Speaking;Can carry out a simple informal interview. ;(P)
72;Speaking;Can carry out an effective, fluent interview, spontaneously following up on interesting replies. ;(Ca)
72;Writing;Can challenge the evidence used to support an argument in a written text. ;(Wa)
54;Writing;Can check and correct spelling, punctuation and grammar in simple written texts. ;(P)
72;Writing;Can check and correct spelling, punctuation and grammar mistakes in long written texts. ;(P)
26;Speaking;Can check into a hotel using a few basic fixed expressions. ;(P)
41;Speaking;Can check or clarify information using some simple fixed expressions. ;(P)
35;Speaking;Can check that someone has understood information, using simple language. ;(P)
88;Speaking;Can clarify points they are trying to make in an academic discussion, using linguistically complex language. ;(Wa)
60;Writing;Can clearly signal cause and effect relationships in a structured text. ;(P)
52;Writing;Can clearly signal chronological sequence in narrative text. ;(P)
62;Writing;Can clearly signal problem and solution relationships in structured text. ;(P)
61;Writing;Can clearly signal the difference between fact and opinion in structured text. ;(P)
44;Writing;Can clearly signal the end of a simple narrative or description. ;(P)
57;Speaking;Can collate information from several written sources and summarise the ideas orally. ;(Ca)
58;Writing;Can collate short pieces of information and summarise them for somebody else. ;(Ca)
84;Speaking;Can comment in detail on the content of a linguistically complex radio programme or podcast in which people describe reactions or opinions. ;(P)
77;Speaking;Can comment on and discuss a linguistically complex text. ;(P)
59;Writing;Can comment on factual information within their field of interest. ;(Ca)
69;Speaking;Can comment tactfully on other people’s contributions to a discussion. ;(Wa)
36;Speaking;Can communicate in routine tasks requiring simple, direct exchanges of information. ;(Ca)
53;Speaking;Can compare and contrast alternatives about what to do, where to go, etc. ;(Ca)
64;Speaking;Can compare and contrast situations in some detail and speculate about the reasons for the current situation. ;(P)
75;Reading;Can compare and critically evaluate a summary against the original text. ;(P)
70;Speaking;Can compare and evaluate different ideas using a range of linguistic devices. ;(P)
66;Writing;Can compare and evaluate ideas in a structured and logical text. ;(P)
61;Writing;Can compare information from different sources. ;(P)
58;Reading;Can compare information given in different texts and media on the same topic. ;(Wa)
32;Speaking;Can compare quantities in a basic way. ;(P)
70;Speaking;Can compare the advantages and disadvantages of possible approaches and solutions to an issue or problem. ;(Ca)
37;Speaking;Can compare their own and others’ possessions using simple language. ;(Ca)
48;Writing;Can complete a detailed form requiring travel information (e.g. ‘visa application’). ;(P)
51;Writing;Can complete a form requiring educational information (e.g. ‘applying for a course of study’). ;(P)
55;Writing;Can complete a form requiring financial information (e.g. ‘application for a bank account’ or ‘credit agreement’). ;(P)
54;Writing;Can complete a form requiring health information. ;(P)
41;Writing;Can complete a simple form asking for medical information. ;(P)
27;Writing;Can complete a simple form requiring travel information (e.g. ‘landing card’, ‘customs declaration’). ;(P)
23;Writing;Can complete simple forms with basic personal details. ;(Ca)
78;Speaking;Can conclude a discursive argument using a range of linguistic devices. ;(P)
81;Writing;Can confidently argue a case in writing, specifying needs and objectives precisely and justifying them as necessary. ;(N2007a)
37;Speaking;Can confirm information using some simple fixed expressions. ;(P)
62;Speaking;Can construct a chain of reasoned argument. ;(C)
79;Speaking;Can contribute fluently and naturally to a conversation about a complex or abstract topic. ;(P)
66;Speaking;Can contribute to a conversation fluently and naturally, provided the topic is not too abstract or complex.;x
76;Speaking;Can contribute to group discussions even when speech is fast and colloquial. ;(Ca)
70;Writing;Can convey information and ideas on abstract and concrete topics. ;(Ca)
45;Speaking;Can convey simple information of immediate relevance and emphasise the main point. ;(Ca)
45;Speaking;Can convey simple relevant information emphasising the most important point. ;(Ca)
18;Writing;Can copy familiar words and short phrases about everyday objects and set phrases. ;(Ca)
24;Writing;Can copy short sentences on everyday subjects (e.g. ‘directions how to get somewhere’). ;(C)
60;Speaking;Can correct mistakes if they have led to misunderstandings. ;(N2000)
64;Writing;Can correctly attribute information from different sources. ;(P)
85;Writing;Can create well-structured complex texts with underlying inferred meaning. ;(Ca)
87;Reading;Can critically evaluate a writer’s choice of words to express nuances of meaning in an argumentative text. ;(Wa)
88;Reading;Can critically evaluate the effectiveness of different arguments in a linguistically complex text. ;(P)
88;Reading;Can critically evaluate the structure, content and style of a text using linguistically complex language. ;(P)
90;Reading;Can critically evaluate the writer’s choice of words to express nuanced meaning in a linguistically complex text. ;(P)
45;Speaking;Can deal with common situations when making travel arrangements or travelling. ;(Ca)
59;Speaking;Can deal with less common situations in a shop, post office (e.g. ‘returning an unsatisfactory purchase’).;x
45;Speaking;Can deal with less routine situations on public transport (e.g. asking ‘where to get off’). ;(N2000a) 
38;Speaking;Can deal with practical everyday demands, exchanging straightforward factual information. ;(Ca)
56;Speaking;Can decline offers politely using a range of formal and informal expressions. ;(P)
33;Speaking;Can decline offers using basic fixed expressions. ;(P)
57;Listening;Can deduce the general meaning of a passage from context in a longer, structured text. ;(P)
53;Speaking;Can define the features of something concrete for which they can’t remember the word. ;(C)
59;Writing;Can demonstrate understanding of formality and conventions in standard letters. ;(P) 
71;Writing;Can demonstrate understanding of structure and conventions of different written genres. ;(Ca) 
75;Speaking;Can depart from and return fluently to a prepared speech in order to answer audience questions. ;(Ca)
46;Reading;Can derive the probable meaning of simple unknown words from short, familiar contexts. ;(Ca)
41;Listening;Can derive the probable meaning of simple, unknown words from short, familiar contexts. ;(P)
30;Speaking;Can describe a person’s hobbies and activities using simple language. ;(P)
28;Speaking;Can describe a person’s likes and dislikes using simple language. ;(P)
35;Speaking;Can describe a travel experience with a few very basic stock phrases. ;(P)
60;Speaking;Can describe an everyday consumer-related problem and request a correction or solution. ;(P)
29;Speaking;Can describe an object using simple language. ;(P)
33;Speaking;Can describe basic activities or events that are happening at the time of speaking. ;(P)
54;Speaking;Can describe basic symptoms to a doctor, but with limited precision. ;(Ca)
31;Speaking;Can describe common everyday objects using simple language. ;(P)
48;Speaking;Can describe dreams, hopes and ambitions. ;(C)
47;Speaking;Can describe events, real or imagined. ;(C)
37;Speaking;Can describe everyday activities in town (e.g. ‘buying food at the supermarket’, ‘borrowing a book from the library’) using simple language. ;(P)
33;Speaking;Can describe familiar activities, given visual support. ;(P)
60;Speaking;Can describe future plans and intentions in detail, giving degrees of probability. ;(P)
43;Speaking;Can describe future plans and intentions using fixed expressions. ;(P)
65;Speaking;Can describe goals using a range of expressions. ;(P)
38;Speaking;Can describe habits and routines. ;(Ca)
45;Speaking;Can describe how often a work-related task should be completed. ;(P)
62;Speaking;Can describe how to do something, giving detailed instructions. ;(C)
34;Speaking;Can describe jobs in a basic way, given a model. ;(P)
24;Speaking;Can describe objects in a basic way (e.g. ‘colour’, ‘size’). ;(P)
59;Speaking;Can describe objects, possessions and products in detail, including their characteristics and special features. ;(P)
34;Speaking;Can describe people’s everyday lives using a short series of simple phrases and sentences. ;(Ca)
59;Speaking;Can describe people’s personality and emotions in some detail. ;(P)
72;Speaking;Can describe places in detail using linguistically complex language. ;(P)
39;Speaking;Can describe plans and arrangements. ;(Ca)
33;Speaking;Can describe skills and abilities using simple language. ;(P)
60;Speaking;Can describe the degree of necessity of various actions. ;(P)
76;Speaking;Can describe the details of problem-solution relationships using a range of linguistic devices. ;(P)
63;Speaking;Can describe the personal significance of events and experiences in detail. ;(Ca)
59;Speaking;Can describe the plot of a book or film in some detail. ;(CSEa)
23;Speaking;Can describe the position of something in a very basic way. ;(P)
29;Writing;Can describe the position of things in a picture using a few simple fixed expressions. ;(P)
33;Speaking;Can describe the position of things in a picture using a range of fixed expressions ;(P)
31;Speaking;Can describe their daily routines in a simple way. ;(P)
33;Speaking;Can describe their family, living conditions, education and present or most recent job. ;(C)
33;Speaking;Can describe their home town or city using simple language. ;(P)
38;Speaking;Can describe very basic events in the past using simple linking words (e.g. ‘then’, ‘next’). ;(P)
31;Speaking;Can describe what someone is wearing using a limited range of expressions. ;(P)
37;Speaking;Can describe what something is used for, using basic fixed expressions. ;(P)
44;Speaking;Can describe what they are looking for when shopping. ;(CSEa)
61;Speaking;Can describe what they would do and how they would react to situations in a text. ;(P)
26;Speaking;Can describe where they live. ;(Ca) 
66;Speaking;Can develop a clear argument with supporting subsidiary points and relevant examples. ;(Ca)
65;Writing;Can develop a clear written description or narrative with relevant supporting detail and examples. ;(Ca)
63;Speaking;Can develop an argument giving reasons in support of or against a particular point of view. ;(N2000)
53;Speaking;Can develop an argument using common fixed expressions. ;(P)
66;Speaking;Can develop an argument well enough to be followed without difficulty most of the time. ;(C)
73;Writing;Can develop an argument with appropriate highlighting of significant points and relevant supporting;x
71;Listening;Can differentiate between rhetorical and genuine questions in informal discussion. ;(P)
49;Speaking;Can discuss everyday, practical issues when the conversation is conducted slowly and clearly. ;(Ca)
50;Speaking;Can discuss films, books or plays in simple terms, using fixed expressions. ;(P)
59;Speaking;Can discuss options and possible actions. ;(P)
52;Speaking;Can discuss the main points of news stories about familiar topics. ;(CJa)
36;Speaking;Can discuss what to do and where to go, and make arrangements to meet. ;(C)
40;Speaking;Can discuss what to do in the evening or at the weekend. ;(C)
41;Speaking;Can discuss what to do next using simple phrases. ;(Ca)
24;Listening;Can distinguish between ‘can’ and ‘can’t’. ;(P)
56;Listening;Can distinguish between different points of view in a discussion or presentation. ;(Wa)
71;Reading;Can distinguish between fact and opinion in complex formal contexts. ;(P)
66;Listening;Can distinguish between fact and opinion in informal discussion at natural speed. ;(P)
51;Reading;Can distinguish between fact and opinion in relation to common topics. ;(P)
51;Listening;Can distinguish between main ideas and supporting details in familiar, standard texts. ;(P)
60;Listening;Can distinguish between relevant and irrelevant content in extended informal speech. ;(P)
61;Reading;Can distinguish supporting details from the main points in a text. ;(P)
74;Writing;Can edit a text to make the style more neutral or formal. ;(P)
82;Writing;Can edit and add to a linguistically complex text to make it clearer or more concise. ;(P)
64;Writing;Can edit notes or bullet points to make them more concise. ;(P)
68;Speaking;Can emphasise a point in a conversation using rhetorical questions. ;(P)
62;Speaking;Can encourage discussion by inviting others to join in, say what they think, etc. ;(Ca)
61;Writing;Can end a discursive argument with a clear conclusion and opinion. ;(P)
30;Speaking;Can end a simple phone call to family or friends using basic informal fixed expressions. ;(P)
61;Speaking;Can engage in extended conversation in a clearly participatory fashion on most general topics. ;(Ca)
47;Speaking;Can enter unprepared into conversation on familiar topics (e.g. ‘family’, ‘hobbies’, ‘work’). ;(Ca)
19;Speaking;Can establish basic social contacts with simple, polite greetings and farewells. ;(Ca) 
73;Speaking;Can evaluate arguments in a debate or discussion and justify the evaluation. ;(P)
74;Speaking;Can exchange complex information on a wide range of matters related to their work. ;(Ca)
59;Speaking;Can exchange information on a wide range of topics within their field with some confidence. ;(Ca)
28;Speaking;Can exchange personal details (e.g. ‘where they live’, ‘things they have’). ;(Ca)
34;Speaking;Can exchange simple information on everyday topics, provided the other person speaks slowly and clearly and is prepared to help. ;(Ca)
64;Speaking;Can explain a problem and demand what action should be taken in an appropriate way. ;(Ca)
55;Speaking;Can explain the main points in an idea or problem with reasonable precision. ;(C) 
45;Speaking;Can explain the meaning of a word or phrase using simple language. ;(P)
45;Speaking;Can explain the rules of a familiar game or sport using simple language. ;(P)
40;Speaking;Can explain what they like or dislike about something. ;(C)
55;Speaking;Can explain why something is a problem. ;(C)
27;Speaking;Can express ability or lack of ability with regard to basic activities using ‘can’ or ‘can’t’. ;(P) 
32;Speaking;Can express agreement using simple fixed expressions. ;(P)
69;Speaking;Can express an attitude, opinion or idea using idiomatic language. ;(P)
60;Speaking;Can express an inference or assumption about a person’s mood or emotional state. ;(P)
56;Speaking;Can express and comment on ideas and suggestions in informal discussions. ;(Ca)
51;Speaking;Can express and respond to feelings (e.g. ‘surprise’, ‘happiness’, ‘interest’, ‘indifference’). ;(C)
56;Speaking;Can express approval and appreciation of other people’s ideas in a discussion. ;(Wa)
75;Speaking;Can express attitudes using linguistically complex language. ;(P)
47;Speaking;Can express attitudes using simple language. ;(P)
30;Speaking;Can express basic intentions with simple time markers (e.g. ‘tomorrow’). ;(P)
45;Speaking;Can express belief, opinion, agreement and disagreement politely. ;(C)
58;Speaking;Can express disagreement in a manner that shows they were actively listening to the other person. ;(P) 
40;Speaking;Can express enthusiasm and excitement in a limited way. ;(P)
61;Speaking;Can express feelings (e.g. ‘sympathy’, ‘surprise’, ‘interest’) with confidence, using a range of expressions. ;(P)
34;Speaking;Can express general preferences using basic fixed expressions. ;(P)
51;Speaking;Can express hopes for the future using a range of fixed expressions. ;(CJa)
28;Speaking;Can express how they are feeling using very basic fixed expressions. ;(P)
38;Speaking;Can express how they feel in simple terms. ;(Ca)
65;Writing;Can express news and views effectively in writing and relate to those of others. ;(C)
65;Speaking;Can express opinions about news stories using a wide range of everyday language. ;(P)
52;Speaking;Can express opinions and attitudes using a range of basic expressions and sentences. ;(Ca)
51;Speaking;Can express opinions and react to practical suggestions of where to go, what to do, etc. ;(Ca)
51;Speaking;Can express opinions as regards possible solutions, giving brief reasons and explanations. ;(Ca)
45;Speaking;Can express opinions using simple language. ;(P)
46;Speaking;Can express preferences about food and drink in detail. ;(P)
28;Speaking;Can express preferences about food and drink using basic fixed expressions. ;(P)
42;Speaking;Can express regret using simple language. ;(P)
58;Speaking;Can express support in a manner that shows they were actively listening to the other person. ;(P)
70;Writing;Can express the same idea with a different level of formality appropriate to the audience. ;(P)
31;Speaking;Can express their likes and dislikes in relation to familiar topics using simple language. ;(P)
61;Speaking;Can express their opinions in discussions on contemporary social issues and current affairs. ;(CSEa)
55;Speaking;Can express their thoughts in some detail on cultural topics (e.g. ‘music’, ‘films’). ;(Ca) 
77;Writing;Can express themselves fluently in writing, adapting the level of formality to the context. ;(P)
64;Speaking;Can express views clearly and evaluate hypothetical proposals in informal discussions. ;(Ca)
78;Reading;Can extract information, ideas and opinions from highly specialised sources within their field. ;(Ca)
46;Listening;Can extract key factual information from a phone conversation on a familiar topic. ;(P)
45;Listening;Can extract key factual information such as dates, numbers and quantities from a presentation. ;(P) 
35;Listening;Can extract key factual information such as prices, times and dates from a recorded phone message. ;(P)
30;Listening;Can extract key factual information such as prices, times and dates from short clear, simple announcements. ;(P)
28;Reading;Can extract personal details in a limited way. ;(P)
48;Reading;Can extract relevant details in everyday letters, brochures and short official documents. ;(Ca)
69;Listening;Can extract specific details from poor quality public announcements, e.g., in a ‘station’, ‘sports stadium’, etc. ;(N2000a)
31;Reading;Can extract specific information (e.g. ‘facts and numbers’) from simple informational texts related to everyday life (e.g. ‘posters’, ‘leaflets’). ;(P)
65;Listening;Can extract the main points from news items, etc. with opinions, arguments and discussion. ;(Ca)
57;Listening;Can extract the meaning of unknown words from context if the topic discussed is familiar. ;(Ca)
23;Listening;Can extract the names of people or places from short, simple dialogues, if delivered slowly and clearly. ;(P)
45;Reading;Can find and understand information in advertisements for sporting or cultural events. ;(P)
31;Reading;Can find specific, predictable information in everyday materials (e.g. ‘menus’, ‘timetables’). ;(Ca)
64;Speaking;Can fluently substitute an equivalent term for a word they can’t recall. ;(Ca)
36;Reading;Can follow a basic sequence of events in a simple text on a familiar topic. ;(P)
76;Listening;Can follow a fast-paced conversation between fluent speakers well enough to be able to contribute. ;(Ca)
62;Listening;Can follow a natural group discussion, but may find it difficult to participate effectively. ;(Ca)
36;Listening;Can follow a simple conversation or narrative about familiar, everyday activities. ;(P)
35;Reading;Can follow a simple series of written instructions to carry out a task. ;(P)
70;Listening;Can follow a wide range of factual and creative texts and summarise themes and opinions. ;(Ca)
74;Listening;Can follow an animated conversation between two fluent speakers. ;(Ca)
51;Listening;Can follow an everyday conversation or informal interview on common topics. ;(P) 
28;Reading;Can follow basic instructions for making something simple. ;(P)
31;Reading;Can follow basic instructions on how to play a simple board game, if supported by pictures. ;(P)
61;Listening;Can follow changes of topic in factual TV news items and form an idea of the main content. ;(C)
52;Reading;Can follow chronological sequence in a formal structured text. ;(P)
65;Listening;Can follow chronological sequences in extended informal speech at natural speed. ;(P)
57;Listening;Can follow classes and training courses on a range of subjects, provided the content is simple. ;(CSEa)
53;Listening;Can follow detailed directions. ;(C)
44;Listening;Can follow everyday conversation, with some repetition of particular words and phrases. ;(P)
73;Listening;Can follow extended speech expressing unstructured ideas and thoughts. ;(P)
74;Listening;Can follow extended speech on abstract and complex topics outside their field, if able to ask for confirmation of details. ;(Ca)
45;Listening;Can follow familiar topics if the speaker is clear and avoids idiomatic usage. ;(Ca)
80;Listening;Can follow films employing a considerable degree of slang and idiomatic usage. ;(C)
52;Listening;Can follow many films in which visuals and action carry much of the storyline. ;(Ca)
57;Listening;Can follow most of a clearly structured presentation within their own field. ;(Ca)
49;Listening;Can follow most of an everyday conversation if speakers avoid very idiomatic usage. ;(Ca)
79;Listening;Can follow presentations on abstract and complex topics outside their field of interest. ;(P) 
51;Listening;Can follow recorded instructions and information given on a phone-delivered service. ;(P)
33;Listening;Can follow short, simple social exchanges. ;(P)
26;Reading;Can follow short, simple written directions (e.g. ‘to go from X to Y’). ;(C)
29;Reading;Can follow simple instructions to carry out a straightforward task. ;(P)
29;Listening;Can follow simple, everyday transactions (e.g. ‘shopping’ and ‘eating out’) if carried out slowly and clearly.;x
25;Listening;Can follow speech which is very slow and carefully articulated, with long pauses. ;(Ca)
61;Reading;Can follow the exchanges on the discussion board of a website. ;(P)
49;Listening;Can follow the linear structure of a short formal talk. ;(P)
69;Listening;Can follow the main points in a linguistically complex interview, if provided with written supporting material. ;(P)
70;Listening;Can follow the main points in a linguistically complex interview, if provided with written supporting material. ;(P)
51;Listening;Can follow the main points in TV programmes on familiar topics if delivered in clear standard speech. ;(Ca)
46;Listening;Can follow the main points of extended discussion around them if in standard speech. ;(Ca)
45;Listening;Can follow the main points of short talks on familiar topics if delivered in clear standard speech. ;(Ca)
41;Reading;Can follow the sequence of actions or events in a text on a familiar everyday topic. ;(P) 
37;Listening;Can follow the sequence of events in a short, simple dialogue or narrative. ;(P)
61;Listening;Can follow the stages of a complex process described using non-technical language. ;(P)
49;Listening;Can generally follow changes of topic in discussions related to their field if conducted slowly and clearly. ;(Ca)
55;Speaking;Can generally follow most of what is said and repeat back details to confirm understanding. ;(Ca)
57;Listening;Can generally follow rapid or extended speech, but may require repetition or clarification. ;(Ca)
39;Listening;Can generally identify the topic of discussion around them when conducted slowly and clearly. ;(C)
51;Reading;Can generally understand details of events, feelings and wishes in letters, emails and online postings. ;(Ca)
46;Reading;Can generally understand straightforward factual texts on familiar topics. ;(Ca)
39;Speaking;Can get information from a tourist office of a straightforward, non-specialised nature. ;(Ca) 
48;Listening;Can get the gist of explanations of unfamiliar cultural practices and customs, if delivered slowly and clearly. ;(CJa)
32;Reading;Can get the gist of short, simple narratives, with visual support. ;(P)
37;Listening;Can get the gist of short, simple stories if told slowly and clearly. ;(P)
74;Reading;Can get the gist of specialised articles and technical texts outside their field. ;(CJa)
63;Speaking;Can give a clear, detailed spoken description of how to carry out a procedure. ;(C)
78;Speaking;Can give a detailed account of a complex subject, ending with a clear conclusion. ;(CJa)
74;Speaking;Can give a detailed response to a counter-argument presented by someone else during a discussion. ;(N2007a)
66;Speaking;Can give a detailed summary of a film including information about the plot, characters and setting. ;(P)
30;Speaking;Can give a short description of their home, family and job, given some help with vocabulary. ;(P)
44;Speaking;Can give a short talk about a familiar topic, with visual support. ;(P)
42;Speaking;Can give a short, basic description of events and activities. ;(C)
53;Speaking;Can give a short, rehearsed talk or presentation on a familiar topic. ;(Ca)
40;Speaking;Can give a simple description of how to carry out an everyday process (e.g. ‘a recipe’). ;(P)
32;Speaking;Can give a simple description of their school or workplace. ;(CSEa)
45;Writing;Can give a simple reason for an action in an informational text, given a model. ;(P)
65;Writing;Can give a structured written explanation of a problem. ;(Ca)
66;Speaking;Can give advice on a wide range of subjects. ;(P)
61;Writing;Can give advice, including reasons. ;(P)
34;Writing;Can give an example of something in a very simple text using ‘like’ or ‘for example’. ;(P)
38;Speaking;Can give an extended description of everyday topics (e.g. ‘people’, ‘places’, ‘experiences’). ;(N2000a)
56;Speaking;Can give an opinion on practical problems, with support when necessary. ;(Ca)
45;Speaking;Can give an opinion when asked directly, provided they can ask for repetition. ;(Ca)
43;Writing;Can give basic advice in writing using simple language. ;(P)
39;Speaking;Can give basic advice using simple language. ;(P)
23;Speaking;Can give basic information about the price of something. ;(P)
59;Speaking;Can give basic technical instructions in their field of specialisation. ;(P)
56;Speaking;Can give brief comments on the views of others. ;(C)
45;Speaking;Can give brief reasons and explanations, using simple language. ;(P)
70;Speaking;Can give clear presentations highlighting significant points with relevant supporting detail. ;(Ca)
66;Speaking;Can give clear, detailed descriptions on a wide range of familiar subjects. ;(Ca)
84;Writing;Can give complex information using appropriate register and conventions. ;(P)
37;Speaking;Can give compliments, using fixed expressions. ;(P)
24;Speaking;Can give dates using standard formats (day and month). ;(P)
49;Speaking;Can give detailed accounts of experiences, describing feelings and reactions. ;(C)
85;Speaking;Can give detailed advice on a wide range of subjects using linguistically complex language. ;(P)
61;Speaking;Can give detailed answers to questions in a face-to-face survey. ;(P)
50;Speaking;Can give detailed directions to a driver. ;(P)
73;Speaking;Can give detailed technical instructions in their field of specialisation. ;(P)
23;Speaking;Can give key information to introduce themselves (e.g. ‘name’, ‘age’, ‘where they are from’). ;(P)
46;Speaking;Can give or seek personal views and opinions in discussing topics of interest. ;(C)
31;Writing;Can give personal details in written form in a limited way. ;(Ca)
78;Speaking;Can give reasons and explanations for their opinions using linguistically complex language. ;(P)
31;Speaking;Can give simple classroom instructions. ;(P)
34;Speaking;Can give simple directions from X to Y on foot or by public transport. ;(P)
32;Speaking;Can give simple directions using a map or plan. ;(P)
37;Speaking;Can give simple instructions to complete a basic task, given a model. ;(P)
34;Speaking;Can give simple opinions using basic fixed expressions. ;(P)
39;Speaking;Can give simple reasons to explain preferences, given a model. ;(P)
