sequence;Service_Level;Inquiry_type;piority;Time_opened;Time_closed;Duration
36;Urgente;Facturacion;alta;2023-07-01 02:49:36.339716;2023-07-01 02:53:22.136007;0 days 00:03:45.796291
37;Estandar;Facturacion;alta;2023-07-01 03:04:41.123120;2023-07-01 03:05:21.020324;0 days 00:00:39.897204
38;Estandar;Facturacion;baja;2023-07-01 03:08:48.711285;2023-07-01 03:12:25.585146;0 days 00:03:36.873861
39;Urgente;Informacion;baja;2023-07-01 03:08:56.576230;2023-07-01 03:10:42.181236;0 days 00:01:45.605006
40;Normal;Informacion;media;2023-07-01 03:13:30.804176;2023-07-01 03:17:12.063326;0 days 00:03:41.259150
41;Urgente;Facturacion;alta;2023-07-01 03:18:44.614521;2023-07-01 03:21:38.465972;0 days 00:02:53.851451
42;Estandar;Informacion;media;2023-07-01 03:19:08.954042;2023-07-01 03:21:19.433131;0 days 00:02:10.479089
43;Estandar;Facturacion;baja;2023-07-01 03:38:53.960777;2023-07-01 03:41:17.367607;0 days 00:02:23.406830
44;Estandar;Queja;media;2023-07-01 03:50:57.684778;2023-07-01 03:54:08.759858;0 days 00:03:11.075080
45;Urgente;Informacion;alta;2023-07-01 03:51:31.317590;2023-07-01 03:56:20.464607;0 days 00:04:49.147017
46;Urgente;Falla;alta;2023-07-01 04:00:37.454524;2023-07-01 04:04:03.904108;0 days 00:03:26.449584
47;Normal;Falla;baja;2023-07-01 04:03:21.457565;2023-07-01 04:05:34.623809;0 days 00:02:13.166244
48;Estandar;Queja;baja;2023-07-01 04:05:09.892514;2023-07-01 04:07:42.102272;0 days 00:02:32.209758
49;Estandar;Queja;baja;2023-07-01 04:05:43.875388;2023-07-01 04:10:03.513001;0 days 00:04:19.637613
50;Urgente;Informacion;baja;2023-07-01 04:08:32.455942;2023-07-01 04:12:38.609821;0 days 00:04:06.153879
51;Normal;Facturacion;media;2023-07-01 04:12:21.427515;2023-07-01 04:15:56.923600;0 days 00:03:35.496085
52;Urgente;Falla;media;2023-07-01 04:19:14.026099;2023-07-01 04:24:23.835700;0 days 00:05:09.809601
53;Urgente;Facturacion;baja;2023-07-01 04:20:09.128635;2023-07-01 04:21:09.692197;0 days 00:01:00.563562
54;Estandar;Queja;baja;2023-07-01 04:21:02.670256;2023-07-01 04:23:18.676163;0 days 00:02:16.005907
55;Estandar;Informacion;baja;2023-07-01 04:22:15.054333;2023-07-01 04:23:34.243534;0 days 00:01:19.189201
56;Normal;Facturacion;media;2023-07-01 04:31:32.134891;2023-07-01 04:33:32.770782;0 days 00:02:00.635891
57;Normal;Queja;baja;2023-07-01 04:38:36.956165;2023-07-01 04:39:05.703613;0 days 00:00:28.747448
58;Urgente;Falla;baja;2023-07-01 04:41:30.290273;2023-07-01 04:41:33.156077;0 days 00:00:02.865804
59;Urgente;Facturacion;baja;2023-07-01 04:44:41.702055;2023-07-01 04:45:34.199841;0 days 00:00:52.497786
60;Estandar;Falla;media;2023-07-01 04:58:56.887756;2023-07-01 05:04:49.410490;0 days 00:05:52.522734
61;Normal;Queja;media;2023-07-01 05:02:00.115755;2023-07-01 05:07:13.034067;0 days 00:05:12.918312
62;Urgente;Informacion;alta;2023-07-01 05:06:08.123624;2023-07-01 05:08:59.731067;0 days 00:02:51.607443
63;Normal;Queja;alta;2023-07-01 05:10:44.141972;2023-07-01 05:12:02.154536;0 days 00:01:18.012564
64;Normal;Queja;media;2023-07-01 05:14:11.567993;2023-07-01 05:19:25.507308;0 days 00:05:13.939315
65;Normal;Facturacion;alta;2023-07-01 05:16:59.124578;2023-07-01 05:17:59.061218;0 days 00:00:59.936640
66;Urgente;Queja;baja;2023-07-01 05:20:33.438027;2023-07-01 05:20:55.130652;0 days 00:00:21.692625
67;Normal;Informacion;media;2023-07-01 05:47:52.395253;2023-07-01 05:49:49.791145;0 days 00:01:57.395892
68;Urgente;Facturacion;alta;2023-07-01 05:50:43.947840;2023-07-01 05:51:02.133920;0 days 00:00:18.186080
69;Estandar;Informacion;alta;2023-07-01 06:05:39.780832;2023-07-01 06:09:16.264913;0 days 00:03:36.484081
70;Normal;Informacion;baja;2023-07-01 06:07:20.143393;2023-07-01 06:13:07.657661;0 days 00:05:47.514268
71;Urgente;Queja;media;2023-07-01 06:15:01.694315;2023-07-01 06:19:53.117981;0 days 00:04:51.423666
72;Urgente;Facturacion;media;2023-07-01 06:28:33.206983;2023-07-01 06:34:25.297413;0 days 00:05:52.090430
73;Normal;Informacion;media;2023-07-01 06:31:31.550500;2023-07-01 06:34:17.774343;0 days 00:02:46.223843
74;Normal;Queja;alta;2023-07-01 06:38:17.188195;2023-07-01 06:41:41.706594;0 days 00:03:24.518399
75;Normal;Falla;baja;2023-07-01 06:38:24.133138;2023-07-01 06:41:52.209038;0 days 00:03:28.075900
76;Normal;Queja;media;2023-07-01 06:39:46.161202;2023-07-01 06:41:03.215659;0 days 00:01:17.054457
77;Urgente;Informacion;baja;2023-07-01 06:40:19.621952;2023-07-01 06:41:24.592971;0 days 00:01:04.971019
78;Estandar;Queja;alta;2023-07-01 06:51:24.537751;2023-07-01 06:55:36.722067;0 days 00:04:12.184316
79;Urgente;Facturacion;baja;2023-07-01 06:53:03.959708;2023-07-01 06:53:39.823549;0 days 00:00:35.863841
80;Estandar;Falla;baja;2023-07-01 06:57:51.220691;2023-07-01 06:59:34.254038;0 days 00:01:43.033347
81;Normal;Queja;alta;2023-07-01 06:58:49.876323;2023-07-01 06:59:25.398339;0 days 00:00:35.522016
82;Urgente;Queja;baja;2023-07-01 07:00:09.468340;2023-07-01 07:05:18.788549;0 days 00:05:09.320209
83;Estandar;Queja;alta;2023-07-01 07:00:22.648723;2023-07-01 07:06:10.191326;0 days 00:05:47.542603
84;Estandar;Informacion;media;2023-07-01 07:03:22.965813;2023-07-01 07:06:35.943236;0 days 00:03:12.977423
85;Normal;Falla;baja;2023-07-01 07:06:47.940416;2023-07-01 07:07:19.704405;0 days 00:00:31.763989
86;Urgente;Informacion;baja;2023-07-01 07:07:09.346124;2023-07-01 07:09:26.627846;0 days 00:02:17.281722
87;Normal;Queja;baja;2023-07-01 07:08:40.952967;2023-07-01 07:09:02.715783;0 days 00:00:21.762816
88;Estandar;Facturacion;media;2023-07-01 07:11:43.864433;2023-07-01 07:12:51.216196;0 days 00:01:07.351763
89;Urgente;Facturacion;alta;2023-07-01 07:19:30.536431;2023-07-01 07:20:51.190703;0 days 00:01:20.654272
90;Urgente;Informacion;baja;2023-07-01 07:19:33.606711;2023-07-01 07:20:08.115522;0 days 00:00:34.508811
91;Urgente;Falla;alta;2023-07-01 07:20:49.253443;2023-07-01 07:23:39.816849;0 days 00:02:50.563406
92;Normal;Queja;alta;2023-07-01 07:22:16.902677;2023-07-01 07:25:22.909513;0 days 00:03:06.006836
93;Normal;Falla;media;2023-07-01 07:25:06.408792;2023-07-01 07:26:13.568854;0 days 00:01:07.160062
94;Normal;Facturacion;media;2023-07-01 07:43:13.505102;2023-07-01 07:45:14.333243;0 days 00:02:00.828141
95;Urgente;Falla;baja;2023-07-01 07:43:55.440820;2023-07-01 07:47:30.740630;0 days 00:03:35.299810
96;Normal;Falla;media;2023-07-01 07:46:03.782312;2023-07-01 07:48:56.486665;0 days 00:02:52.704353
97;Estandar;Queja;alta;2023-07-01 07:50:41.066082;2023-07-01 07:56:15.210040;0 days 00:05:34.143958
98;Urgente;Facturacion;baja;2023-07-01 07:51:10.931864;2023-07-01 07:51:34.322483;0 days 00:00:23.390619
99;Urgente;Falla;media;2023-07-01 07:52:06.410124;2023-07-01 07:55:21.984037;0 days 00:03:15.573913
100;Normal;Queja;baja;2023-07-01 07:52:55.592971;2023-07-01 07:55:13.175327;0 days 00:02:17.582356
101;Normal;Informacion;alta;2023-07-01 07:57:12.165267;2023-07-01 07:57:55.416545;0 days 00:00:43.251278
102;Urgente;Queja;alta;2023-07-01 07:57:33.001423;2023-07-01 08:02:57.391816;0 days 00:05:24.390393
103;Urgente;Queja;media;2023-07-01 08:00:14.699811;2023-07-01 08:00:27.699451;0 days 00:00:12.999640
104;Estandar;Falla;alta;2023-07-01 08:01:08.598216;2023-07-01 08:02:14.806934;0 days 00:01:06.208718
105;Normal;Queja;media;2023-07-01 08:03:53.291086;2023-07-01 08:03:53.608508;0 days 00:00:00.317422
106;Urgente;Queja;baja;2023-07-01 08:04:18.972257;2023-07-01 08:04:30.129586;0 days 00:00:11.157329
107;Normal;Queja;baja;2023-07-01 08:05:31.443069;2023-07-01 08:07:19.426480;0 days 00:01:47.983411
108;Normal;Informacion;media;2023-07-01 08:06:50.404523;2023-07-01 08:06:52.831126;0 days 00:00:02.426603
109;Estandar;Falla;alta;2023-07-01 08:08:32.115875;2023-07-01 08:10:38.237279;0 days 00:02:06.121404
110;Normal;Falla;media;2023-07-01 08:11:19.764684;2023-07-01 08:11:42.644144;0 days 00:00:22.879460
111;Urgente;Falla;media;2023-07-01 08:19:13.880389;2023-07-01 08:23:25.738458;0 days 00:04:11.858069
112;Estandar;Falla;alta;2023-07-01 08:25:33.208694;2023-07-01 08:31:24.624598;0 days 00:05:51.415904
113;Normal;Falla;baja;2023-07-01 08:33:29.571732;2023-07-01 08:36:53.932170;0 days 00:03:24.360438
114;Normal;Facturacion;baja;2023-07-01 08:37:28.763107;2023-07-01 08:38:03.722655;0 days 00:00:34.959548
115;Estandar;Queja;alta;2023-07-01 08:38:37.305692;2023-07-01 08:40:29.387392;0 days 00:01:52.081700
116;Urgente;Queja;media;2023-07-01 08:42:38.072242;2023-07-01 08:46:26.679107;0 days 00:03:48.606865
117;Urgente;Queja;alta;2023-07-01 08:43:22.780124;2023-07-01 08:49:03.574154;0 days 00:05:40.794030
118;Urgente;Falla;media;2023-07-01 08:45:40.351230;2023-07-01 08:49:17.082605;0 days 00:03:36.731375
119;Urgente;Informacion;baja;2023-07-01 09:06:46.348389;2023-07-01 09:08:15.769097;0 days 00:01:29.420708
120;Urgente;Informacion;alta;2023-07-01 09:09:49.114140;2023-07-01 09:14:04.978804;0 days 00:04:15.864664
121;Estandar;Falla;alta;2023-07-01 09:18:52.424778;2023-07-01 09:21:08.273688;0 days 00:02:15.848910
122;Estandar;Queja;baja;2023-07-01 09:22:41.526571;2023-07-01 09:27:03.049091;0 days 00:04:21.522520
123;Normal;Falla;alta;2023-07-01 09:28:37.903551;2023-07-01 09:29:51.972177;0 days 00:01:14.068626
124;Normal;Falla;alta;2023-07-01 09:37:51.212548;2023-07-01 09:42:55.825384;0 days 00:05:04.612836
125;Urgente;Queja;baja;2023-07-01 09:41:28.197998;2023-07-01 09:46:49.774880;0 days 00:05:21.576882
126;Urgente;Queja;media;2023-07-01 09:43:04.926132;2023-07-01 09:46:09.281037;0 days 00:03:04.354905
127;Estandar;Facturacion;baja;2023-07-01 09:45:06.887612;2023-07-01 09:50:16.773756;0 days 00:05:09.886144
128;Urgente;Queja;alta;2023-07-01 09:48:07.869688;2023-07-01 09:51:38.359123;0 days 00:03:30.489435
129;Urgente;Queja;media;2023-07-01 09:53:44.019519;2023-07-01 09:59:29.851243;0 days 00:05:45.831724
130;Urgente;Facturacion;media;2023-07-01 09:54:38.085125;2023-07-01 09:56:07.758553;0 days 00:01:29.673428
131;Urgente;Informacion;baja;2023-07-01 09:58:13.071233;2023-07-01 10:03:28.529153;0 days 00:05:15.457920
132;Estandar;Informacion;alta;2023-07-01 10:00:03.229833;2023-07-01 10:02:53.218948;0 days 00:02:49.989115
133;Estandar;Falla;media;2023-07-01 10:03:58.212448;2023-07-01 10:07:03.867316;0 days 00:03:05.654868
134;Urgente;Queja;media;2023-07-01 10:18:05.013547;2023-07-01 10:18:23.649804;0 days 00:00:18.636257
135;Normal;Informacion;media;2023-07-01 10:20:40.195003;2023-07-01 10:21:14.921738;0 days 00:00:34.726735
136;Normal;Falla;baja;2023-07-01 10:20:47.573762;2023-07-01 10:25:07.558186;0 days 00:04:19.984424
137;Urgente;Queja;baja;2023-07-01 10:23:53.934177;2023-07-01 10:27:49.346993;0 days 00:03:55.412816
138;Estandar;Falla;baja;2023-07-01 10:34:08.577296;2023-07-01 10:38:59.280440;0 days 00:04:50.703144
139;Estandar;Informacion;alta;2023-07-01 10:39:30.471945;2023-07-01 10:43:18.747832;0 days 00:03:48.275887
140;Estandar;Falla;baja;2023-07-01 10:52:38.498963;2023-07-01 10:58:24.798431;0 days 00:05:46.299468
141;Estandar;Falla;baja;2023-07-01 10:55:28.374973;2023-07-01 10:56:07.710188;0 days 00:00:39.335215
142;Urgente;Queja;media;2023-07-01 10:57:21.244959;2023-07-01 11:00:37.383908;0 days 00:03:16.138949
143;Estandar;Informacion;media;2023-07-01 10:57:36.646106;2023-07-01 11:02:17.970374;0 days 00:04:41.324268
144;Normal;Facturacion;media;2023-07-01 10:59:49.788259;2023-07-01 11:05:38.601541;0 days 00:05:48.813282
145;Normal;Facturacion;alta;2023-07-01 11:04:13.617523;2023-07-01 11:04:51.363942;0 days 00:00:37.746419
146;Normal;Falla;baja;2023-07-01 11:13:23.019738;2023-07-01 11:18:33.206385;0 days 00:05:10.186647
147;Normal;Falla;media;2023-07-01 11:19:59.664015;2023-07-01 11:22:42.651068;0 days 00:02:42.987053
148;Normal;Queja;alta;2023-07-01 11:36:16.053232;2023-07-01 11:41:35.568451;0 days 00:05:19.515219
149;Normal;Informacion;baja;2023-07-01 11:47:05.244392;2023-07-01 11:48:50.381940;0 days 00:01:45.137548
150;Normal;Facturacion;baja;2023-07-01 11:50:02.262161;2023-07-01 11:55:52.220943;0 days 00:05:49.958782
151;Urgente;Queja;media;2023-07-01 11:53:46.915607;2023-07-01 11:58:47.332294;0 days 00:05:00.416687
152;Normal;Falla;media;2023-07-01 11:57:49.259677;2023-07-01 11:59:09.884036;0 days 00:01:20.624359
153;Estandar;Informacion;alta;2023-07-01 12:01:55.154968;2023-07-01 12:06:34.838844;0 days 00:04:39.683876
154;Urgente;Falla;media;2023-07-01 12:08:39.735057;2023-07-01 12:10:39.789312;0 days 00:02:00.054255
155;Estandar;Facturacion;alta;2023-07-01 12:11:24.504668;2023-07-01 12:16:29.157768;0 days 00:05:04.653100
156;Urgente;Queja;alta;2023-07-01 12:15:45.547140;2023-07-01 12:21:12.661932;0 days 00:05:27.114792
157;Normal;Queja;baja;2023-07-01 12:32:19.431016;2023-07-01 12:33:52.935954;0 days 00:01:33.504938
158;Estandar;Queja;baja;2023-07-01 12:38:16.643911;2023-07-01 12:38:20.175834;0 days 00:00:03.531923
159;Urgente;Queja;alta;2023-07-01 12:40:25.741434;2023-07-01 12:45:12.332285;0 days 00:04:46.590851
160;Urgente;Falla;media;2023-07-01 12:41:40.611957;2023-07-01 12:42:34.626272;0 days 00:00:54.014315
161;Normal;Facturacion;alta;2023-07-01 12:41:49.476904;2023-07-01 12:44:52.097619;0 days 00:03:02.620715
162;Estandar;Falla;alta;2023-07-01 12:44:17.464730;2023-07-01 12:49:33.684290;0 days 00:05:16.219560
163;Urgente;Queja;alta;2023-07-01 12:44:20.673667;2023-07-01 12:47:43.382211;0 days 00:03:22.708544
164;Estandar;Informacion;media;2023-07-01 12:48:44.354913;2023-07-01 12:52:34.193213;0 days 00:03:49.838300
165;Urgente;Queja;alta;2023-07-01 12:58:38.864202;2023-07-01 12:59:59.761632;0 days 00:01:20.897430
166;Urgente;Facturacion;media;2023-07-01 13:02:19.661450;2023-07-01 13:02:57.346287;0 days 00:00:37.684837
167;Urgente;Queja;media;2023-07-01 13:06:50.768176;2023-07-01 13:12:30.464930;0 days 00:05:39.696754
168;Normal;Falla;baja;2023-07-01 13:12:42.879769;2023-07-01 13:18:06.446759;0 days 00:05:23.566990
169;Estandar;Facturacion;alta;2023-07-01 13:22:40.225871;2023-07-01 13:27:43.817793;0 days 00:05:03.591922
170;Urgente;Facturacion;media;2023-07-01 13:23:10.615951;2023-07-01 13:23:58.075892;0 days 00:00:47.459941
171;Normal;Facturacion;baja;2023-07-01 13:28:58.187694;2023-07-01 13:31:25.243484;0 days 00:02:27.055790
172;Estandar;Facturacion;media;2023-07-01 13:38:36.210654;2023-07-01 13:41:51.873623;0 days 00:03:15.662969
173;Normal;Facturacion;alta;2023-07-01 13:39:20.869223;2023-07-01 13:41:53.827837;0 days 00:02:32.958614
174;Urgente;Facturacion;media;2023-07-01 13:41:07.180867;2023-07-01 13:41:56.823061;0 days 00:00:49.642194
175;Estandar;Informacion;media;2023-07-01 13:42:11.601312;2023-07-01 13:44:12.307747;0 days 00:02:00.706435
176;Estandar;Falla;alta;2023-07-01 13:42:29.003836;2023-07-01 13:43:05.337547;0 days 00:00:36.333711
177;Estandar;Facturacion;media;2023-07-01 13:49:53.701727;2023-07-01 13:52:55.870599;0 days 00:03:02.168872
178;Normal;Falla;alta;2023-07-01 13:54:21.252862;2023-07-01 13:59:34.495056;0 days 00:05:13.242194
179;Estandar;Queja;baja;2023-07-01 13:58:45.131200;2023-07-01 14:02:29.202256;0 days 00:03:44.071056
180;Normal;Informacion;baja;2023-07-01 13:59:29.486883;2023-07-01 14:02:10.469626;0 days 00:02:40.982743
181;Normal;Falla;media;2023-07-01 14:03:39.894530;2023-07-01 14:04:48.062614;0 days 00:01:08.168084
182;Normal;Falla;baja;2023-07-01 14:06:52.448376;2023-07-01 14:11:27.249293;0 days 00:04:34.800917
183;Estandar;Queja;alta;2023-07-01 14:09:25.433217;2023-07-01 14:15:14.113643;0 days 00:05:48.680426
184;Normal;Falla;alta;2023-07-01 14:21:04.177174;2023-07-01 14:24:57.255661;0 days 00:03:53.078487
185;Estandar;Facturacion;baja;2023-07-01 14:24:13.386193;2023-07-01 14:28:21.535946;0 days 00:04:08.149753
186;Normal;Queja;baja;2023-07-01 14:26:53.911295;2023-07-01 14:30:19.948142;0 days 00:03:26.036847
187;Normal;Queja;media;2023-07-01 14:30:58.302450;2023-07-01 14:31:42.260684;0 days 00:00:43.958234
188;Normal;Facturacion;alta;2023-07-01 14:44:40.171234;2023-07-01 14:48:20.492796;0 days 00:03:40.321562
189;Urgente;Queja;baja;2023-07-01 14:46:34.350359;2023-07-01 14:50:39.488176;0 days 00:04:05.137817
190;Estandar;Queja;baja;2023-07-01 14:51:04.230180;2023-07-01 14:51:11.920919;0 days 00:00:07.690739
191;Urgente;Falla;media;2023-07-01 14:57:00.520566;2023-07-01 15:00:47.789926;0 days 00:03:47.269360
192;Estandar;Queja;media;2023-07-01 15:00:09.053671;2023-07-01 15:03:32.985688;0 days 00:03:23.932017
193;Estandar;Falla;media;2023-07-01 15:01:12.937076;2023-07-01 15:04:32.581481;0 days 00:03:19.644405
194;Normal;Informacion;baja;2023-07-01 15:05:08.025403;2023-07-01 15:08:57.152923;0 days 00:03:49.127520
195;Urgente;Informacion;baja;2023-07-01 15:06:20.146610;2023-07-01 15:06:45.285361;0 days 00:00:25.138751
196;Urgente;Facturacion;baja;2023-07-01 15:06:33.072712;2023-07-01 15:09:11.416820;0 days 00:02:38.344108
197;Normal;Facturacion;baja;2023-07-01 15:14:20.840210;2023-07-01 15:15:07.503057;0 days 00:00:46.662847
198;Estandar;Informacion;alta;2023-07-01 15:20:09.179907;2023-07-01 15:24:24.432594;0 days 00:04:15.252687
199;Urgente;Falla;alta;2023-07-01 15:26:52.428648;2023-07-01 15:30:08.619155;0 days 00:03:16.190507
200;Normal;Queja;alta;2023-07-01 15:32:41.049682;2023-07-01 15:33:13.498233;0 days 00:00:32.448551
201;Urgente;Facturacion;alta;2023-07-01 15:34:52.668414;2023-07-01 15:38:48.142253;0 days 00:03:55.473839
202;Urgente;Queja;media;2023-07-01 15:36:34.590241;2023-07-01 15:37:23.830343;0 days 00:00:49.240102
203;Estandar;Facturacion;alta;2023-07-01 15:42:03.906039;2023-07-01 15:43:47.696412;0 days 00:01:43.790373
204;Normal;Queja;alta;2023-07-01 15:43:08.223505;2023-07-01 15:46:49.286069;0 days 00:03:41.062564
205;Normal;Facturacion;baja;2023-07-01 15:47:13.306013;2023-07-01 15:48:22.410588;0 days 00:01:09.104575
206;Normal;Informacion;alta;2023-07-01 15:47:23.965993;2023-07-01 15:53:07.941720;0 days 00:05:43.975727
207;Estandar;Informacion;alta;2023-07-01 15:47:52.284013;2023-07-01 15:52:46.086722;0 days 00:04:53.802709
208;Urgente;Informacion;alta;2023-07-01 15:51:05.771809;2023-07-01 15:54:48.790219;0 days 00:03:43.018410
209;Urgente;Queja;baja;2023-07-01 15:54:26.992496;2023-07-01 15:57:18.593875;0 days 00:02:51.601379
210;Estandar;Facturacion;baja;2023-07-01 15:56:24.710346;2023-07-01 16:01:03.101457;0 days 00:04:38.391111
211;Normal;Informacion;baja;2023-07-01 15:59:55.897636;2023-07-01 16:04:01.975750;0 days 00:04:06.078114
212;Estandar;Queja;media;2023-07-01 16:01:12.325284;2023-07-01 16:03:15.912710;0 days 00:02:03.587426
213;Normal;Facturacion;media;2023-07-01 16:04:20.886551;2023-07-01 16:07:10.286942;0 days 00:02:49.400391
214;Estandar;Informacion;alta;2023-07-01 16:16:59.267562;2023-07-01 16:22:26.556625;0 days 00:05:27.289063
215;Estandar;Falla;baja;2023-07-01 16:17:15.076073;2023-07-01 16:19:13.630528;0 days 00:01:58.554455
216;Estandar;Facturacion;alta;2023-07-01 16:25:17.456502;2023-07-01 16:30:40.422507;0 days 00:05:22.966005
217;Urgente;Queja;alta;2023-07-01 16:25:51.332198;2023-07-01 16:27:58.858499;0 days 00:02:07.526301
218;Urgente;Falla;baja;2023-07-01 16:28:28.262259;2023-07-01 16:32:25.025196;0 days 00:03:56.762937
219;Urgente;Falla;media;2023-07-01 16:29:32.006220;2023-07-01 16:34:51.935184;0 days 00:05:19.928964
220;Normal;Falla;media;2023-07-01 16:31:22.329108;2023-07-01 16:34:14.343339;0 days 00:02:52.014231
221;Urgente;Falla;baja;2023-07-01 16:36:20.299097;2023-07-01 16:41:35.732192;0 days 00:05:15.433095
222;Urgente;Queja;alta;2023-07-01 16:39:55.082662;2023-07-01 16:43:37.724111;0 days 00:03:42.641449
223;Estandar;Queja;media;2023-07-01 16:39:55.327161;2023-07-01 16:45:18.999985;0 days 00:05:23.672824
224;Estandar;Informacion;baja;2023-07-01 16:41:59.211986;2023-07-01 16:47:56.092454;0 days 00:05:56.880468
225;Estandar;Falla;baja;2023-07-01 16:43:23.641291;2023-07-01 16:44:30.179956;0 days 00:01:06.538665
226;Normal;Falla;media;2023-07-01 16:48:13.865897;2023-07-01 16:51:23.845385;0 days 00:03:09.979488
227;Normal;Informacion;media;2023-07-01 16:49:54.675425;2023-07-01 16:53:13.944048;0 days 00:03:19.268623
228;Urgente;Informacion;media;2023-07-01 16:56:56.416853;2023-07-01 16:59:55.336005;0 days 00:02:58.919152
229;Urgente;Falla;baja;2023-07-01 16:59:17.498333;2023-07-01 17:04:38.508575;0 days 00:05:21.010242
230;Normal;Informacion;alta;2023-07-01 17:01:52.135071;2023-07-01 17:05:48.017807;0 days 00:03:55.882736
231;Urgente;Queja;alta;2023-07-01 17:21:39.235948;2023-07-01 17:23:33.845697;0 days 00:01:54.609749
232;Estandar;Falla;baja;2023-07-01 17:22:52.894301;2023-07-01 17:23:26.085354;0 days 00:00:33.191053
233;Urgente;Queja;alta;2023-07-01 17:26:24.301180;2023-07-01 17:30:06.439629;0 days 00:03:42.138449
234;Urgente;Facturacion;alta;2023-07-01 17:27:03.844074;2023-07-01 17:31:07.243059;0 days 00:04:03.398985
235;Normal;Queja;alta;2023-07-01 17:29:26.687212;2023-07-01 17:29:53.641145;0 days 00:00:26.953933
