Sequence;Service_Level;Inquiry_type;piority;Time_opened;Time_closed;Duration
24;Estandar;Falla;alta;2023-07-01 01:58:50.580476;2023-07-01 02:04:57.589767;367.009291
25;Normal;Queja;media;2023-07-01 02:08:44.498988;2023-07-01 02:11:55.377779;190.878791
26;Normal;Falla;media;2023-07-01 02:16:49.678247;2023-07-01 02:18:28.958061;99.279814
27;Normal;Falla;media;2023-07-01 02:20:18.630054;2023-07-01 02:23:19.209944;180.57989
28;Urgente;Informacion;media;2023-07-01 02:21:44.686395;2023-07-01 02:27:09.126197;324.439802
29;Normal;Falla;media;2023-07-01 02:23:16.897818;2023-07-01 02:23:35.900277;19.002459
30;Normal;Falla;alta;2023-07-01 02:25:15.284613;2023-07-01 02:26:22.441206;67.156593
31;Urgente;Facturacion;media;2023-07-01 02:26:11.293200;2023-07-01 02:32:55.732065;404.438865
32;Estandar;Queja;alta;2023-07-01 02:29:50.246359;2023-07-01 02:41:07.684936;677.438577
33;Estandar;Falla;alta;2023-07-01 02:35:42.189790;2023-07-01 02:38:43.113792;180.924002
34;Urgente;Facturacion;baja;2023-07-01 02:36:12.313712;2023-07-01 02:36:19.122311;6.808599
35;Estandar;Informacion;alta;2023-07-01 02:43:13.056047;2023-07-01 02:46:01.927188;168.871141
36;Urgente;Facturacion;alta;2023-07-01 02:49:36.339716;2023-07-01 02:49:59.478295;23.138579
37;Estandar;Facturacion;alta;2023-07-01 03:04:41.123120;2023-07-01 03:11:07.113553;385.990433
38;Estandar;Facturacion;baja;2023-07-01 03:08:48.711285;2023-07-01 03:11:40.117353;171.406068
39;Urgente;Informacion;baja;2023-07-01 03:08:56.576230;2023-07-01 03:13:48.384811;291.808581
40;Normal;Informacion;media;2023-07-01 03:13:30.804176;2023-07-01 03:19:41.903392;371.099216
41;Urgente;Facturacion;alta;2023-07-01 03:18:44.614521;2023-07-01 03:22:07.165452;202.550931
42;Estandar;Informacion;media;2023-07-01 03:19:08.954042;2023-07-01 03:23:17.182810;248.228768
43;Estandar;Facturacion;baja;2023-07-01 03:38:53.960777;2023-07-01 03:50:53.024728;719.063951
44;Estandar;Queja;media;2023-07-01 03:50:57.684778;2023-07-01 04:08:51.514196;1073.829418
45;Urgente;Informacion;alta;2023-07-01 03:51:31.317590;2023-07-01 03:59:12.831965;461.514375
46;Urgente;Falla;alta;2023-07-01 04:00:37.454524;2023-07-01 04:09:46.206367;548.751843
47;Normal;Falla;baja;2023-07-01 04:03:21.457565;2023-07-01 04:08:41.339584;319.882019
48;Estandar;Queja;baja;2023-07-01 04:05:09.892514;2023-07-01 04:16:55.556919;705.664405
49;Estandar;Queja;baja;2023-07-01 04:05:43.875388;2023-07-01 04:09:07.145745;203.270357
50;Urgente;Informacion;baja;2023-07-01 04:08:32.455942;2023-07-01 04:17:25.409278;532.953336
51;Normal;Facturacion;media;2023-07-01 04:12:21.427515;2023-07-01 04:14:44.198485;142.77097
52;Urgente;Falla;media;2023-07-01 04:19:14.026099;2023-07-01 04:21:18.021905;123.995806
53;Urgente;Facturacion;baja;2023-07-01 04:20:09.128635;2023-07-01 04:26:16.664525;367.53589
54;Estandar;Queja;baja;2023-07-01 04:21:02.670256;2023-07-01 04:22:23.193615;80.523359
55;Estandar;Informacion;baja;2023-07-01 04:22:15.054333;2023-07-01 04:28:35.070169;380.015836
56;Normal;Facturacion;media;2023-07-01 04:31:32.134891;2023-07-01 04:34:58.506571;206.37168
57;Normal;Queja;baja;2023-07-01 04:38:36.956165;2023-07-01 04:40:05.207894;88.251729
58;Urgente;Falla;baja;2023-07-01 04:41:30.290273;2023-07-01 04:48:03.936290;393.646017
59;Urgente;Facturacion;baja;2023-07-01 04:44:41.702055;2023-07-01 04:47:46.771623;185.069568
60;Estandar;Falla;media;2023-07-01 04:58:56.887756;2023-07-01 04:59:40.701078;43.813322
61;Normal;Queja;media;2023-07-01 05:02:00.115755;2023-07-01 05:04:53.308298;173.192543
62;Urgente;Informacion;alta;2023-07-01 05:06:08.123624;2023-07-01 05:19:41.880711;813.757087
63;Normal;Queja;alta;2023-07-01 05:10:44.141972;2023-07-01 05:20:46.721594;602.579622
64;Normal;Queja;media;2023-07-01 05:14:11.567993;2023-07-01 05:21:13.788002;422.220009
65;Normal;Facturacion;alta;2023-07-01 05:16:59.124578;2023-07-01 05:17:07.969422;8.844844
66;Urgente;Queja;baja;2023-07-01 05:20:33.438027;2023-07-01 05:20:39.620152;6.182125
67;Normal;Informacion;media;2023-07-01 05:47:52.395253;2023-07-01 05:56:08.922923;496.52767
68;Urgente;Facturacion;alta;2023-07-01 05:50:43.947840;2023-07-01 05:55:22.434620;278.48678
69;Estandar;Informacion;alta;2023-07-01 06:05:39.780832;2023-07-01 06:13:21.819658;462.038826
70;Normal;Informacion;baja;2023-07-01 06:07:20.143393;2023-07-01 06:10:35.505074;195.361681
71;Urgente;Queja;media;2023-07-01 06:15:01.694315;2023-07-01 06:20:10.480318;308.786003
72;Urgente;Facturacion;media;2023-07-01 06:28:33.206983;2023-07-01 06:34:39.455374;366.248391
73;Normal;Informacion;media;2023-07-01 06:31:31.550500;2023-07-01 06:41:10.128967;578.578467
74;Normal;Queja;alta;2023-07-01 06:38:17.188195;2023-07-01 06:42:50.306840;273.118645
75;Normal;Falla;baja;2023-07-01 06:38:24.133138;2023-07-01 06:46:47.417435;503.284297
76;Normal;Queja;media;2023-07-01 06:39:46.161202;2023-07-01 06:48:09.244085;503.082883
77;Urgente;Informacion;baja;2023-07-01 06:40:19.621952;2023-07-01 06:43:29.282697;189.660745
78;Estandar;Queja;alta;2023-07-01 06:51:24.537751;2023-07-01 06:58:40.087672;435.549921
79;Urgente;Facturacion;baja;2023-07-01 06:53:03.959708;2023-07-01 06:55:44.777483;160.817775
80;Estandar;Falla;baja;2023-07-01 06:57:51.220691;2023-07-01 07:04:06.451486;375.230795
81;Normal;Queja;alta;2023-07-01 06:58:49.876323;2023-07-01 07:03:51.934323;302.058
82;Urgente;Queja;baja;2023-07-01 07:00:09.468340;2023-07-01 07:05:53.031713;343.563373
83;Estandar;Queja;alta;2023-07-01 07:00:22.648723;2023-07-01 07:00:59.571263;36.92254
84;Estandar;Informacion;media;2023-07-01 07:03:22.965813;2023-07-01 07:05:24.924938;121.959125
85;Normal;Falla;baja;2023-07-01 07:06:47.940416;2023-07-01 07:10:37.305062;229.364646
86;Urgente;Informacion;baja;2023-07-01 07:07:09.346124;2023-07-01 07:13:28.029916;378.683792
87;Normal;Queja;baja;2023-07-01 07:08:40.952967;2023-07-01 07:10:26.882446;105.929479
88;Estandar;Facturacion;media;2023-07-01 07:11:43.864433;2023-07-01 07:17:05.471150;321.606717
89;Urgente;Facturacion;alta;2023-07-01 07:19:30.536431;2023-07-01 07:24:42.943102;312.406671
90;Urgente;Informacion;baja;2023-07-01 07:19:33.606711;2023-07-01 07:21:26.433026;112.826315
91;Urgente;Falla;alta;2023-07-01 07:20:49.253443;2023-07-01 07:22:21.915022;92.661579
92;Normal;Queja;alta;2023-07-01 07:22:16.902677;2023-07-01 07:30:18.354479;481.451802
93;Normal;Falla;media;2023-07-01 07:25:06.408792;2023-07-01 07:27:38.311478;151.902686
94;Normal;Facturacion;media;2023-07-01 07:43:13.505102;2023-07-01 07:44:04.931039;51.425937
95;Urgente;Falla;baja;2023-07-01 07:43:55.440820;2023-07-01 07:50:50.226025;414.785205
96;Normal;Falla;media;2023-07-01 07:46:03.782312;2023-07-01 07:46:35.084714;31.302402
97;Estandar;Queja;alta;2023-07-01 07:50:41.066082;2023-07-01 07:53:17.169347;156.103265
98;Urgente;Facturacion;baja;2023-07-01 07:51:10.931864;2023-07-01 07:57:04.257229;353.325365
99;Urgente;Falla;media;2023-07-01 07:52:06.410124;2023-07-01 07:55:50.142664;223.73254
100;Normal;Queja;baja;2023-07-01 07:52:55.592971;2023-07-01 07:57:21.461488;265.868517
101;Normal;Informacion;alta;2023-07-01 07:57:12.165267;2023-07-01 08:02:24.171792;312.006525
102;Urgente;Queja;alta;2023-07-01 07:57:33.001423;2023-07-01 08:06:38.647777;545.646354
103;Urgente;Queja;media;2023-07-01 08:00:14.699811;2023-07-01 08:02:59.920904;165.221093
104;Estandar;Falla;alta;2023-07-01 08:01:08.598216;2023-07-01 08:07:52.259850;403.661634
105;Normal;Queja;media;2023-07-01 08:03:53.291086;2023-07-01 08:05:37.980945;104.689859
106;Urgente;Queja;baja;2023-07-01 08:04:18.972257;2023-07-01 08:05:07.744534;48.772277
107;Normal;Queja;baja;2023-07-01 08:05:31.443069;2023-07-01 08:10:27.031564;295.588495
108;Normal;Informacion;media;2023-07-01 08:06:50.404523;2023-07-01 08:09:24.193021;153.788498
109;Estandar;Falla;alta;2023-07-01 08:08:32.115875;2023-07-01 08:17:30.465385;538.34951
110;Normal;Falla;media;2023-07-01 08:11:19.764684;2023-07-01 08:11:29.002011;9.237327
111;Urgente;Falla;media;2023-07-01 08:19:13.880389;2023-07-01 08:32:20.006535;786.126146
112;Estandar;Falla;alta;2023-07-01 08:25:33.208694;2023-07-01 08:30:00.133455;266.924761
113;Normal;Falla;baja;2023-07-01 08:33:29.571732;2023-07-01 08:34:21.452036;51.880304
114;Normal;Facturacion;baja;2023-07-01 08:37:28.763107;2023-07-01 08:43:53.422983;384.659876
115;Estandar;Queja;alta;2023-07-01 08:38:37.305692;2023-07-01 08:45:09.270541;391.964849
116;Urgente;Queja;media;2023-07-01 08:42:38.072242;2023-07-01 08:49:10.671352;392.59911
117;Urgente;Queja;alta;2023-07-01 08:43:22.780124;2023-07-01 08:47:02.017026;219.236902
118;Urgente;Falla;media;2023-07-01 08:45:40.351230;2023-07-01 09:00:59.193741;918.842511
119;Urgente;Informacion;baja;2023-07-01 09:06:46.348389;2023-07-01 09:11:15.906940;269.558551
120;Urgente;Informacion;alta;2023-07-01 09:09:49.114140;2023-07-01 09:23:36.674097;827.559957
121;Estandar;Falla;alta;2023-07-01 09:18:52.424778;2023-07-01 09:25:06.205210;373.780432
122;Estandar;Queja;baja;2023-07-01 09:22:41.526571;2023-07-01 09:24:38.316771;116.7902
123;Normal;Falla;alta;2023-07-01 09:28:37.903551;2023-07-01 09:39:03.782742;625.879191
124;Normal;Falla;alta;2023-07-01 09:37:51.212548;2023-07-01 09:41:25.759434;214.546886
125;Urgente;Queja;baja;2023-07-01 09:41:28.197998;2023-07-01 09:44:19.082729;170.884731
126;Urgente;Queja;media;2023-07-01 09:43:04.926132;2023-07-01 09:43:46.304781;41.378649
127;Estandar;Facturacion;baja;2023-07-01 09:45:06.887612;2023-07-01 09:45:42.205410;35.317798
128;Urgente;Queja;alta;2023-07-01 09:48:07.869688;2023-07-01 09:54:00.357516;352.487828
129;Urgente;Queja;media;2023-07-01 09:53:44.019519;2023-07-01 09:54:09.256650;25.237131
130;Urgente;Facturacion;media;2023-07-01 09:54:38.085125;2023-07-01 09:57:06.655545;148.57042
131;Urgente;Informacion;baja;2023-07-01 09:58:13.071233;2023-07-01 10:00:26.323013;133.25178
132;Estandar;Informacion;alta;2023-07-01 10:00:03.229833;2023-07-01 10:09:37.477743;574.24791
133;Estandar;Falla;media;2023-07-01 10:03:58.212448;2023-07-01 10:16:31.495488;753.28304
134;Urgente;Queja;media;2023-07-01 10:18:05.013547;2023-07-01 10:29:18.289031;673.275484
135;Normal;Informacion;media;2023-07-01 10:20:40.195003;2023-07-01 10:24:44.448344;244.253341
136;Normal;Falla;baja;2023-07-01 10:20:47.573762;2023-07-01 10:23:37.761733;170.187971
137;Urgente;Queja;baja;2023-07-01 10:23:53.934177;2023-07-01 10:25:32.397371;98.463194
138;Estandar;Falla;baja;2023-07-01 10:34:08.577296;2023-07-01 10:42:17.707110;489.129814
139;Estandar;Informacion;alta;2023-07-01 10:39:30.471945;2023-07-01 10:43:59.339573;268.867628
140;Estandar;Falla;baja;2023-07-01 10:52:38.498963;2023-07-01 10:58:33.419171;354.920208
141;Estandar;Falla;baja;2023-07-01 10:55:28.374973;2023-07-01 11:02:00.413017;392.038044
142;Urgente;Queja;media;2023-07-01 10:57:21.244959;2023-07-01 10:58:19.902163;58.657204
143;Estandar;Informacion;media;2023-07-01 10:57:36.646106;2023-07-01 11:03:55.642769;378.996663
144;Normal;Facturacion;media;2023-07-01 10:59:49.788259;2023-07-01 11:02:42.692232;172.903973
145;Normal;Facturacion;alta;2023-07-01 11:04:13.617523;2023-07-01 11:13:10.444939;536.827416
146;Normal;Falla;baja;2023-07-01 11:13:23.019738;2023-07-01 11:15:25.454396;122.434658
147;Normal;Falla;media;2023-07-01 11:19:59.664015;2023-07-01 11:25:09.712725;310.04871
148;Normal;Queja;alta;2023-07-01 11:36:16.053232;2023-07-01 11:37:53.987181;97.933949
149;Normal;Informacion;baja;2023-07-01 11:47:05.244392;2023-07-01 11:53:17.610852;372.36646
150;Normal;Facturacion;baja;2023-07-01 11:50:02.262161;2023-07-01 11:52:56.099274;173.837113
151;Urgente;Queja;media;2023-07-01 11:53:46.915607;2023-07-01 11:56:55.745261;188.829654
152;Normal;Falla;media;2023-07-01 11:57:49.259677;2023-07-01 12:03:21.159665;331.899988
153;Estandar;Informacion;alta;2023-07-01 12:01:55.154968;2023-07-01 12:04:14.822250;139.667282
154;Urgente;Falla;media;2023-07-01 12:08:39.735057;2023-07-01 12:10:22.145311;102.410254
155;Estandar;Facturacion;alta;2023-07-01 12:11:24.504668;2023-07-01 12:18:50.697454;446.192786
156;Urgente;Queja;alta;2023-07-01 12:15:45.547140;2023-07-01 12:17:04.499454;78.952314
157;Normal;Queja;baja;2023-07-01 12:32:19.431016;2023-07-01 12:37:37.897177;318.466161
158;Estandar;Queja;baja;2023-07-01 12:38:16.643911;2023-07-01 12:42:15.012940;238.369029
159;Urgente;Queja;alta;2023-07-01 12:40:25.741434;2023-07-01 12:48:03.699359;457.957925
160;Urgente;Falla;media;2023-07-01 12:41:40.611957;2023-07-01 12:43:50.073512;129.461555
161;Normal;Facturacion;alta;2023-07-01 12:41:49.476904;2023-07-01 12:43:47.146183;117.669279
162;Estandar;Falla;alta;2023-07-01 12:44:17.464730;2023-07-01 12:46:42.008747;144.544017
163;Urgente;Queja;alta;2023-07-01 12:44:20.673667;2023-07-01 12:53:06.996717;526.32305
164;Estandar;Informacion;media;2023-07-01 12:48:44.354913;2023-07-01 12:56:21.819874;457.464961
165;Urgente;Queja;alta;2023-07-01 12:58:38.864202;2023-07-01 13:06:12.489045;453.624843
166;Urgente;Facturacion;media;2023-07-01 13:02:19.661450;2023-07-01 13:08:39.854448;380.192998
167;Urgente;Queja;media;2023-07-01 13:06:50.768176;2023-07-01 13:12:25.953344;335.185168
168;Normal;Falla;baja;2023-07-01 13:12:42.879769;2023-07-01 13:21:52.318372;549.438603
169;Estandar;Facturacion;alta;2023-07-01 13:22:40.225871;2023-07-01 13:24:30.641176;110.415305
170;Urgente;Facturacion;media;2023-07-01 13:23:10.615951;2023-07-01 13:28:26.158807;315.542856
171;Normal;Facturacion;baja;2023-07-01 13:28:58.187694;2023-07-01 13:31:43.869952;165.682258
172;Estandar;Facturacion;media;2023-07-01 13:38:36.210654;2023-07-01 13:50:44.119810;727.909156
173;Normal;Facturacion;alta;2023-07-01 13:39:20.869223;2023-07-01 13:39:48.551412;27.682189
174;Urgente;Facturacion;media;2023-07-01 13:41:07.180867;2023-07-01 13:49:56.547446;529.366579
175;Estandar;Informacion;media;2023-07-01 13:42:11.601312;2023-07-01 13:44:03.020859;111.419547
176;Estandar;Falla;alta;2023-07-01 13:42:29.003836;2023-07-01 13:46:44.851529;255.847693
177;Estandar;Facturacion;media;2023-07-01 13:49:53.701727;2023-07-01 13:52:38.918395;165.216668
178;Normal;Falla;alta;2023-07-01 13:54:21.252862;2023-07-01 13:58:52.487142;271.23428
179;Estandar;Queja;baja;2023-07-01 13:58:45.131200;2023-07-01 14:06:21.290004;456.158804
180;Normal;Informacion;baja;2023-07-01 13:59:29.486883;2023-07-01 14:04:11.237130;281.750247
181;Normal;Falla;media;2023-07-01 14:03:39.894530;2023-07-01 14:13:50.120736;610.226206
182;Normal;Falla;baja;2023-07-01 14:06:52.448376;2023-07-01 14:15:37.115746;524.66737
183;Estandar;Queja;alta;2023-07-01 14:09:25.433217;2023-07-01 14:13:40.871386;255.438169
184;Normal;Falla;alta;2023-07-01 14:21:04.177174;2023-07-01 14:28:11.649400;427.472226
185;Estandar;Facturacion;baja;2023-07-01 14:24:13.386193;2023-07-01 14:28:40.343859;266.957666
186;Normal;Queja;baja;2023-07-01 14:26:53.911295;2023-07-01 14:35:49.823735;535.91244
187;Normal;Queja;media;2023-07-01 14:30:58.302450;2023-07-01 14:35:57.799327;299.496877
188;Normal;Facturacion;alta;2023-07-01 14:44:40.171234;2023-07-01 14:45:40.100230;59.928996
189;Urgente;Queja;baja;2023-07-01 14:46:34.350359;2023-07-01 14:51:58.599784;324.249425
190;Estandar;Queja;baja;2023-07-01 14:51:04.230180;2023-07-01 14:58:52.736197;468.506017
191;Urgente;Falla;media;2023-07-01 14:57:00.520566;2023-07-01 15:06:15.132248;554.611682
192;Estandar;Queja;media;2023-07-01 15:00:09.053671;2023-07-01 15:05:22.163025;313.109354
193;Estandar;Falla;media;2023-07-01 15:01:12.937076;2023-07-01 15:03:42.619802;149.682726
194;Normal;Informacion;baja;2023-07-01 15:05:08.025403;2023-07-01 15:11:25.328612;377.303209
195;Urgente;Informacion;baja;2023-07-01 15:06:20.146610;2023-07-01 15:14:03.987645;463.841035
196;Urgente;Facturacion;baja;2023-07-01 15:06:33.072712;2023-07-01 15:14:33.428458;480.355746
197;Normal;Facturacion;baja;2023-07-01 15:14:20.840210;2023-07-01 15:17:04.231924;163.391714
198;Estandar;Informacion;alta;2023-07-01 15:20:09.179907;2023-07-01 15:24:19.119004;249.939097
199;Urgente;Falla;alta;2023-07-01 15:26:52.428648;2023-07-01 15:30:57.019589;244.590941
200;Normal;Queja;alta;2023-07-01 15:32:41.049682;2023-07-01 15:38:39.644609;358.594927
201;Urgente;Facturacion;alta;2023-07-01 15:34:52.668414;2023-07-01 15:40:49.709642;357.041228
202;Urgente;Queja;media;2023-07-01 15:36:34.590241;2023-07-01 15:36:43.810132;9.219891
203;Estandar;Facturacion;alta;2023-07-01 15:42:03.906039;2023-07-01 15:43:16.478580;72.572541
204;Normal;Queja;alta;2023-07-01 15:43:08.223505;2023-07-01 15:44:21.100399;72.876894
205;Normal;Facturacion;baja;2023-07-01 15:47:13.306013;2023-07-01 15:53:50.308812;397.002799
206;Normal;Informacion;alta;2023-07-01 15:47:23.965993;2023-07-01 15:48:11.112223;47.14623
207;Estandar;Informacion;alta;2023-07-01 15:47:52.284013;2023-07-01 15:57:46.751474;594.467461
208;Urgente;Informacion;alta;2023-07-01 15:51:05.771809;2023-07-01 16:00:16.072668;550.300859
209;Urgente;Queja;baja;2023-07-01 15:54:26.992496;2023-07-01 15:57:25.277180;178.284684
210;Estandar;Facturacion;baja;2023-07-01 15:56:24.710346;2023-07-01 15:59:56.694924;211.984578
211;Normal;Informacion;baja;2023-07-01 15:59:55.897636;2023-07-01 16:00:06.399442;10.501806
212;Estandar;Queja;media;2023-07-01 16:01:12.325284;2023-07-01 16:02:08.771708;56.446424
213;Normal;Facturacion;media;2023-07-01 16:04:20.886551;2023-07-01 16:04:42.165513;21.278962
214;Estandar;Informacion;alta;2023-07-01 16:16:59.267562;2023-07-01 16:20:51.699886;232.432324
215;Estandar;Falla;baja;2023-07-01 16:17:15.076073;2023-07-01 16:17:47.351606;32.275533
216;Estandar;Facturacion;alta;2023-07-01 16:25:17.456502;2023-07-01 16:28:10.099504;172.643002
217;Urgente;Queja;alta;2023-07-01 16:25:51.332198;2023-07-01 16:30:06.029643;254.697445
218;Urgente;Falla;baja;2023-07-01 16:28:28.262259;2023-07-01 16:33:18.272360;290.010101
219;Urgente;Falla;media;2023-07-01 16:29:32.006220;2023-07-01 16:33:44.034685;252.028465
220;Normal;Falla;media;2023-07-01 16:31:22.329108;2023-07-01 16:35:11.273663;228.944555
221;Urgente;Falla;baja;2023-07-01 16:36:20.299097;2023-07-01 16:40:23.217992;242.918895
222;Urgente;Queja;alta;2023-07-01 16:39:55.082662;2023-07-01 16:47:01.212271;426.129609
223;Estandar;Queja;media;2023-07-01 16:39:55.327161;2023-07-01 16:57:36.049227;1060.722066
224;Estandar;Informacion;baja;2023-07-01 16:41:59.211986;2023-07-01 16:43:13.998555;74.786569
225;Estandar;Falla;baja;2023-07-01 16:43:23.641291;2023-07-01 16:44:10.801790;47.160499
226;Normal;Falla;media;2023-07-01 16:48:13.865897;2023-07-01 17:00:56.147743;762.281846
227;Normal;Informacion;media;2023-07-01 16:49:54.675425;2023-07-01 17:00:18.986136;624.310711
228;Urgente;Informacion;media;2023-07-01 16:56:56.416853;2023-07-01 17:00:20.611256;204.194403
229;Urgente;Falla;baja;2023-07-01 16:59:17.498333;2023-07-01 17:00:17.295244;59.796911
230;Normal;Informacion;alta;2023-07-01 17:01:52.135071;2023-07-01 17:12:50.625095;658.490024
231;Urgente;Queja;alta;2023-07-01 17:21:39.235948;2023-07-01 17:28:39.577797;420.341849
232;Estandar;Falla;baja;2023-07-01 17:22:52.894301;2023-07-01 17:26:40.509206;227.614905
233;Urgente;Queja;alta;2023-07-01 17:26:24.301180;2023-07-01 17:30:56.757627;272.456447
234;Urgente;Facturacion;alta;2023-07-01 17:27:03.844074;2023-07-01 17:29:54.303708;170.459634
235;Normal;Queja;alta;2023-07-01 17:29:26.687212;2023-07-01 17:30:06.359253;39.672041
236;Urgente;Falla;media;2023-07-01 17:34:25.998912;2023-07-01 17:47:04.242289;758.243377
237;Estandar;Queja;baja;2023-07-01 17:34:41.904019;2023-07-01 17:34:56.153775;14.249756
238;Estandar;Falla;baja;2023-07-01 17:34:56.906053;2023-07-01 17:36:48.156201;111.250148
239;Urgente;Queja;media;2023-07-01 17:35:25.953726;2023-07-01 17:38:03.379664;157.425938
240;Normal;Queja;media;2023-07-01 17:52:50.784188;2023-07-01 17:59:24.589825;393.805637
241;Normal;Queja;media;2023-07-01 18:10:59.823903;2023-07-01 18:13:35.144807;155.320904
242;Urgente;Informacion;media;2023-07-01 18:12:35.332101;2023-07-01 18:19:00.712317;385.380216
243;Normal;Queja;media;2023-07-01 18:15:37.726401;2023-07-01 18:21:02.857603;325.131202
244;Estandar;Falla;media;2023-07-01 18:19:02.815735;2023-07-01 18:25:17.054125;374.23839
245;Estandar;Queja;media;2023-07-01 18:22:11.118657;2023-07-01 18:24:36.531609;145.412952
246;Normal;Informacion;alta;2023-07-01 18:23:56.705811;2023-07-01 18:25:50.867193;114.161382
247;Urgente;Queja;media;2023-07-01 18:29:35.196790;2023-07-01 18:30:13.001439;37.804649
248;Urgente;Queja;alta;2023-07-01 18:31:37.662771;2023-07-01 18:31:58.608427;20.945656
249;Normal;Queja;baja;2023-07-01 18:37:10.114132;2023-07-01 18:41:04.663736;234.549604
250;Estandar;Queja;media;2023-07-01 18:44:36.628343;2023-07-01 18:54:02.798220;566.169877
251;Urgente;Falla;baja;2023-07-01 18:46:47.879087;2023-07-01 18:51:46.132098;298.253011
252;Estandar;Queja;alta;2023-07-01 18:53:30.940524;2023-07-01 18:55:32.326594;121.38607
253;Urgente;Queja;baja;2023-07-01 18:55:43.288299;2023-07-01 18:57:16.836113;93.547814
254;Urgente;Informacion;media;2023-07-01 18:55:55.190212;2023-07-01 19:01:40.722272;345.53206
255;Urgente;Queja;baja;2023-07-01 19:10:29.332481;2023-07-01 19:12:24.936879;115.604398
256;Estandar;Facturacion;alta;2023-07-01 19:11:04.594697;2023-07-01 19:21:20.837791;616.243094
257;Normal;Informacion;alta;2023-07-01 19:20:38.025532;2023-07-01 19:23:16.686555;158.661023
258;Urgente;Facturacion;media;2023-07-01 19:22:15.566778;2023-07-01 19:26:17.885919;242.319141
259;Normal;Queja;alta;2023-07-01 19:24:26.737397;2023-07-01 19:32:59.600078;512.862681
260;Urgente;Queja;media;2023-07-01 19:25:18.214666;2023-07-01 19:35:44.608882;626.394216
261;Estandar;Informacion;media;2023-07-01 19:30:00.833315;2023-07-01 19:32:39.700077;158.866762
262;Estandar;Facturacion;media;2023-07-01 19:32:09.318858;2023-07-01 19:34:17.106544;127.787686
263;Estandar;Informacion;alta;2023-07-01 19:33:22.093368;2023-07-01 19:34:11.293636;49.200268
264;Urgente;Queja;alta;2023-07-01 19:36:16.044777;2023-07-01 19:51:13.490285;897.445508
265;Estandar;Informacion;media;2023-07-01 19:36:38.569898;2023-07-01 19:38:20.946834;102.376936
266;Estandar;Queja;alta;2023-07-01 19:38:49.590486;2023-07-01 19:39:39.834868;50.244382
267;Normal;Facturacion;media;2023-07-01 19:40:04.556504;2023-07-01 19:43:13.374012;188.817508
268;Estandar;Facturacion;baja;2023-07-01 19:40:12.174175;2023-07-01 19:49:14.547662;542.373487
269;Normal;Facturacion;baja;2023-07-01 19:44:55.368643;2023-07-01 19:48:34.989489;219.620846
270;Estandar;Falla;baja;2023-07-01 19:47:23.831978;2023-07-01 19:54:15.911614;412.079636
271;Estandar;Falla;alta;2023-07-01 19:47:42.715579;2023-07-01 19:56:19.502812;516.787233
272;Estandar;Queja;alta;2023-07-01 19:50:56.880247;2023-07-01 19:57:32.977975;396.097728
